Year;Sex;Age;Total
2001;Konur; 17 ára;1669
2001;Konur; 18 ára;1623
2001;Konur; 19 ára;1529
2001;Konur; 20 ára;1078
2001;Konur; 21 ára;1143
2001;Konur; 22 ára;1090
2001;Konur; 23 ára;927
2001;Konur; 24 ára;757
2001;Konur; 25 ára;646
2001;Konur; 26 ára;547
2001;Konur; 27 ára;444
2001;Konur; 28 ára;375
2001;Konur; 29 ára;375
2002;Alls;16 ára;3549
2002;Alls; 17 ára;3210
2002;Alls; 18 ára;3014
2002;Alls; 19 ára;3009
2002;Alls; 20 ára;2501
2002;Alls; 21 ára;2312
2002;Alls; 22 ára;2250
2002;Alls; 23 ára;1939
2002;Alls; 24 ára;1540
2002;Alls; 25 ára;1224
2002;Alls; 26 ára;1053
2002;Alls; 27 ára;901
2002;Alls; 28 ára;756
2002;Alls; 29 ára;701
2002;Karlar;16 ára;1762
2002;Karlar; 17 ára;1531
2002;Karlar; 18 ára;1474
2002;Karlar; 19 ára;1395
2002;Karlar; 20 ára;1230
2002;Karlar; 21 ára;1150
2002;Karlar; 22 ára;1070
2002;Karlar; 23 ára;892
2002;Karlar; 24 ára;673
2002;Karlar; 25 ára;519
2002;Karlar; 26 ára;456
2002;Karlar; 27 ára;371
2002;Karlar; 28 ára;310
2002;Karlar; 29 ára;295
2002;Konur;16 ára;1787
2002;Konur; 17 ára;1679
2002;Konur; 18 ára;1540
2002;Konur; 19 ára;1614
2002;Konur; 20 ára;1271
2002;Konur; 21 ára;1162
2002;Konur; 22 ára;1180
2002;Konur; 23 ára;1047
2002;Konur; 24 ára;867
2002;Konur; 25 ára;705
2002;Konur; 26 ára;597
2002;Konur; 27 ára;530
2002;Konur; 28 ára;446
2002;Konur; 29 ára;406
2003;Alls;16 ára;3846
2003;Alls; 17 ára;3265
2003;Alls; 18 ára;2964
2003;Alls; 19 ára;2923
2003;Alls; 20 ára;2391
2003;Alls; 21 ára;2347
2003;Alls; 22 ára;2251
2003;Alls; 23 ára;2138
2003;Alls; 24 ára;1780
2003;Alls; 25 ára;1379
2003;Alls; 26 ára;1093
2003;Alls; 27 ára;941
2003;Alls; 28 ára;821
2003;Alls; 29 ára;720
2003;Karlar;16 ára;2007
2003;Karlar; 17 ára;1606
2003;Karlar; 18 ára;1412
2003;Karlar; 19 ára;1394
2003;Karlar; 20 ára;1184
2003;Karlar; 21 ára;1123
2003;Karlar; 22 ára;1063
2003;Karlar; 23 ára;1000
2003;Karlar; 24 ára;783
2003;Karlar; 25 ára;582
2003;Karlar; 26 ára;481
2003;Karlar; 27 ára;393
2003;Karlar; 28 ára;319
2003;Karlar; 29 ára;294
2003;Konur;16 ára;1839
2003;Konur; 17 ára;1659
2003;Konur; 18 ára;1552
2003;Konur; 19 ára;1529
2003;Konur; 20 ára;1207
2003;Konur; 21 ára;1224
2003;Konur; 22 ára;1188
2003;Konur; 23 ára;1138
2003;Konur; 24 ára;997
2003;Konur; 25 ára;797
2003;Konur; 26 ára;612
2003;Konur; 27 ára;548
2003;Konur; 28 ára;502
2003;Konur; 29 ára;426
2004;Alls;16 ára;4344
2004;Alls; 17 ára;3491
2004;Alls; 18 ára;2944
2004;Alls; 19 ára;2779
2004;Alls; 20 ára;2317
2004;Alls; 21 ára;2251
2004;Alls; 22 ára;2312
2004;Alls; 23 ára;2038
2004;Alls; 24 ára;1804
2004;Alls; 25 ára;1484
2004;Alls; 26 ára;1144
2004;Alls; 27 ára;922
2004;Alls; 28 ára;873
2004;Alls; 29 ára;773
2004;Karlar;16 ára;2218
2004;Karlar; 17 ára;1800
2004;Karlar; 18 ára;1425
2004;Karlar; 19 ára;1283
2004;Karlar; 20 ára;1173
2004;Karlar; 21 ára;1065
2004;Karlar; 22 ára;1075
2004;Karlar; 23 ára;946
2004;Karlar; 24 ára;817
2004;Karlar; 25 ára;661
2004;Karlar; 26 ára;468
2004;Karlar; 27 ára;375
2004;Karlar; 28 ára;351
2004;Karlar; 29 ára;290
2004;Konur;16 ára;2126
2004;Konur; 17 ára;1691
2004;Konur; 18 ára;1519
2004;Konur; 19 ára;1496
2004;Konur; 20 ára;1144
2004;Konur; 21 ára;1186
2004;Konur; 22 ára;1237
2004;Konur; 23 ára;1092
2004;Konur; 24 ára;987
2004;Konur; 25 ára;823
2004;Konur; 26 ára;676
2004;Konur; 27 ára;547
2004;Konur; 28 ára;522
2004;Konur; 29 ára;483
2005;Alls;16 ára;4272
2005;Alls; 17 ára;3923
2005;Alls; 18 ára;3097
2005;Alls; 19 ára;2776
2005;Alls; 20 ára;2141
2005;Alls; 21 ára;2228
